Gene Name	Mutation Count	Associated Phenotypes
B4170	13	isobutanol:Resistant;clarythromycin:Resistant;theophylline:Sensitive;nitrofurantoin:Sensitive;peroxide:Resistant;paraquat:Resistant;streptomycin:Resistant;heat:Resistant;spiramycin:Resistant;ionizing radiation:Resistant;methylglyoxal:Sensitive;pms:Sensitive;azithromycin:Resistant;fusidic acid:Resistant;alkaline:Resistant;mops:Sensitive;edta:Sensitive;copper:Sensitive;fucose:Sensitive;acid:Sensitive;vancomycin:Resistant;ciprofloxacin:Resistant;cold:Sensitive;l-valine:Sensitive;trimethoprim:Sensitive
B4177	6	sodium chloride:Sensitive;anaerobic:Sensitive;succinate:Sensitive;dibucaine:Resistant;acriflavine:Resistant;cerulenin:Sensitive;taurocholate:Sensitive;nitrofurantoin:Sensitive;peroxide:Resistant;acetate:Sensitive;propidium iodide:Resistant;cholate:Sensitive;sulfamonomethoxine:Resistant;egcg:Resistant;trimethoprim:Sensitive;erythromycin:Sensitive;cefsulodin:Sensitive;heat:Resistant;mecillinam:Sensitive;chloropromazine:Sensitive;spiramycin:Resistant;n-acetylglucosamine:Sensitive;thiolactomycin:Resistant;doxorubicin:Resistant;tobramycin:Sensitive;novobiocin:Sensitive;cold:Resistant;bile:Resistant;cefaclor:Resistant;glucose:Sensitive;oxacillin:Resistant;nitrofurantoin:Resistant;methylglyoxal:Sensitive;vancomycin:Sensitive;acid:Resistant;azithromycin:Resistant;ammonia chloride:Sensitive;amikacin:Resistant;iron:Sensitive;polymixin b:Resistant;chir-090:Sensitive;spectinomycin:Sensitive;methotrexate:Resistant;azidothymidine:Sensitive;bacitracin:Sensitive;nigericin:Resistant;cefoxitin:Sensitive;procaine:Sensitive;ethanol:Sensitive;copper:Sensitive;egcg:Sensitive;fucose:Sensitive;isoniazid:Resistant;chloramphenicol:Sensitive;a22:Sensitive;deoxycholate:Sensitive;nalidixic acid:Resistant;benzalkonium chloride:Resistant;verapamil:Sensitive;puromycin:Resistant;doxycycline:Sensitive;pyocyanin:Resistant;fusidic acid:Resistant;norepinephrine:Resistant;actinomycin d:Sensitive;maltose:Sensitive;egta:Sensitive;cccp:Resistant;minocycline:Resistant;epinephrine:Sensitive;bile:Sensitive;edta:Sensitive;l-valine:Sensitive;glycerol:Sensitive;glucosamine:Sensitive;streptonigrin:Resistant
B4176	4	sulfamethoxazole:Sensitive;alkaline:Resistant;peroxide:Resistant;trimethoprim:Sensitive;heat:Resistant;taurocholate:Resistant
B1415	7	growth:Resistant;cetylpyridinium chloride:Sensitive;lactate:Resistant;fucose:Sensitive;cold:Resistant;copper:Resistant;trimethoprim:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;mecillinam:Sensitive;polymixin b:Sensitive
B1414	5	growth:Resistant;procaine:Sensitive;itaconate:Resistant;heat:Sensitive;alanine utilization:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;triton x:Sensitive
B1419	4	growth:Resistant;tunicamycin:Sensitive;tetracycline:Resistant;ampicillin:Sensitive;phleomycin:Resistant;heat:Sensitive;fucose:Sensitive;azetreonam:Sensitive;alkaline:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive
B1418	5	growth:Resistant;tetracycline:Resistant;fucose:Sensitive;verapamil:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;actinomycin d:Resistant
METW	1	heat:Resistant
ECW_M1986	6	sodium chloride:Sensitive
TFAX'	1	a22:Resistant;nalidixic acid:Sensitive;glufosfomycin:Resistant;polymixin b:Sensitive;paraquat:Resistant;alkaline:Sensitive;chloramphenicol:Resistant;cefaclor:Sensitive;triton x:Sensitive;azithromycin:Resistant;iron:Sensitive
ECB_00715	8	growth:Resistant
ECW_M3782	10	sodium chloride:Resistant
ECK1990	1	minocycline:Sensitive;theophylline:Resistant;norepinephrine:Resistant;acid:Resistant;heat:Resistant;streptonigrin:Resistant
ECW_M2839	5	sodium chloride:Sensitive
ECW_M2786	2	sodium chloride:Resistant
MPX	1	growth:Resistant
ECW_M1771	18	sodium chloride:Resistant
RZPQ'	1	peroxide:Sensitive;calcofluor:Sensitive;novobiocin:Sensitive;nalidixic acid:Sensitive;azidothymidine:Resistant;cefsulodin:Sensitive;polymixin b:Sensitive;nitrofurantoin:Resistant;amikacin:Sensitive;acid:Resistant;azithromycin:Resistant;isoniazid:Sensitive;chloropromazine:Sensitive;a22:Sensitive
B3709	2	h2o2:Sensitive;cadmium:Sensitive;ethanol:Resistant
B3708	7	growth:Resistant;isobutanol:Resistant;azithromycin:Sensitive;spiramycin:Sensitive;ionic liquids:Resistant;luria-bertani broth:Sensitive;phleomycin:Sensitive;cefsulodin:Resistant;butyrolactone:Sensitive;benzalkonium chloride:Resistant;paraquat:Sensitive;chir-090:Sensitive;ciprofloxacin:Sensitive;mops:Sensitive
B3705	2	l-valine:Sensitive;luria-bertani broth:Sensitive;fucose:Sensitive;growth:Resistant;mops:Sensitive
B3704	3	growth:Resistant;l-valine:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B3707	2	l-valine:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B3706	3	acriflavine:Resistant;ciprofloxacin:Resistant;nitrofurantoin:Sensitive;norepinephrine:Sensitive;mecillinam:Resistant;chloramphenicol:Sensitive;acid:Sensitive;procaine:Sensitive;glyoxal:Sensitive
B3701	2	l-valine:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B3700	7	sodium chloride:Sensitive;tetracycline:Resistant;gentamicin:Sensitive;clarythromycin:Resistant;nitrofurantoin:Sensitive;gamma rays:Sensitive;propidium iodide:Resistant;norfloxacin:Resistant;iron:Resistant;cefsulodin:Sensitive;novobiocin:Sensitive;methylglyoxal:Sensitive;amikacin:Sensitive;acid:Resistant;azithromycin:Resistant;ammonia chloride:Resistant;cefoxitin:Sensitive;ceftazidime:Sensitive;erythromycin:Resistant;fucose:Sensitive;furfural:Sensitive;egta:Resistant;cobalt:Resistant;chloramphenicol:Resistant;bicyclomycin:Sensitive;chloramphenicol:Sensitive;ciprofloxacin:Resistant;uv radiation:Sensitive;l-valine:Sensitive;bile:Sensitive;dibucaine:Sensitive
B3703	2	l-valine:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B3702	5	heat:Resistant;luria-bertani broth:Sensitive;mops:Sensitive
ECB_00608	9	growth:Resistant
ECB_00609	2	growth:Resistant
ECB_00600	6	growth:Resistant
ECB_00601	11	growth:Resistant;heat:Resistant
ECB_00602	3	growth:Resistant
ECB_00603	13	growth:Resistant;heat:Resistant
ECB_00604	35	growth:Resistant;heat:Resistant
ECB_00605	7	growth:Resistant;cold:Resistant;heat:Resistant
ECB_00606	3	growth:Resistant
ECB_00607	3	growth:Resistant
ECB_01809	3	growth:Resistant
ECB_01808	3	growth:Resistant
ECB_01805	4	growth:Resistant
ECB_01804	5	growth:Resistant;heat:Resistant
ECB_01807	5	growth:Resistant
ECB_01806	9	growth:Resistant
ECB_01801	11	growth:Resistant;heat:Resistant
ECB_01800	5	growth:Resistant
ECB_01803	4	growth:Resistant;heat:Resistant
ECB_01802	18	growth:Resistant;heat:Resistant
B1255	4	growth:Resistant;sodium chloride:Sensitive;pms:Sensitive
B1254	7	gentamicin:Sensitive;vancomycin:Sensitive;glufosfomycin:Resistant;cholate:Sensitive;phleomycin:Sensitive;dibucaine:Sensitive;butanediol:Sensitive;bleomycin:Sensitive;chloropromazine:Sensitive;chloropromazine:Resistant;puromycin:Sensitive;novobiocin:Sensitive;mitomycin c:Sensitive;ionic liquids:Resistant;ethidium bromide:Sensitive;amikacin:Sensitive;trimethoprim:Resistant;growth:Resistant;cefoxitin:Resistant;tobramycin:Sensitive;sodium chloride:Resistant;copper:Sensitive;bicyclomycin:Sensitive;rifampicin:Sensitive;etda:Sensitive;benzalkonium chloride:Sensitive;paraquat:Sensitive;deoxycholate:Sensitive;nickel:Sensitive;egta:Sensitive;verapamil:Resistant;bile:Sensitive;edta:Sensitive;sds:Sensitive;sulfamethoxazole:Resistant
B1257	3	growth:Resistant;cisplatin:Resistant;iron:Sensitive;nickel:Sensitive;bicyclomycin:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;ciprofloxacin:Sensitive
B1256	2	growth:Resistant;sulfamethoxazole:Sensitive;egta:Resistant;glufosfomycin:Sensitive;edta:Resistant
B1251	7	tetracycline:Resistant;clarythromycin:Resistant;sulfamonomethoxine:Resistant;luria-bertani broth:Sensitive;nigericin:Sensitive;dibucaine:Sensitive;streptomycin:Resistant;spiramycin:Resistant;amoxicillin:Sensitive;cisplatin:Sensitive;fosfomycin:Sensitive;alkaline:Sensitive;amikacin:Sensitive;acetate:Resistant;actinomycin d:Resistant;mops:Sensitive;growth:Resistant;tobramycin:Resistant;pms:Sensitive;fucose:Sensitive;pyocyanin:Sensitive;paraquat:Sensitive;fusidic acid:Sensitive;levofloxacin:Sensitive;l-valine:Sensitive
B1250	7	growth:Resistant;sodium chloride:Sensitive;hydroxyurea:Resistant;ceftazidime:Sensitive;cholate:Sensitive;ionizing radiation:Resistant;heat:Resistant;acetate:Resistant
B1253	4	growth:Resistant;decanoic acid:Resistant;oxacillin:Resistant;nalidixic acid:Sensitive;fucose:Sensitive;cccp:Resistant;luria-bertani broth:Sensitive;succinate:Resistant;spiramycin:Resistant;mops:Sensitive
B1252	16	sodium chloride:Sensitive;hydrolysate:Resistant;acriflavine:Resistant;cerulenin:Sensitive;vancomycin:Sensitive;alkaline:Resistant;propidium iodide:Resistant;cholate:Sensitive;norepinephrine:Resistant;mecillinam:Sensitive;ethidium bromide:Resistant;ampicillin:Sensitive;ionic liquids:Resistant;cisplatin:Sensitive;methylglyoxal:Sensitive;taurocholate:Sensitive;clarythromycin:Sensitive;acetate:Resistant;epinephrine:Resistant;growth:Resistant;novobiocin:Resistant;methotrexate:Resistant;cefoxitin:Sensitive;procaine:Sensitive;egcg:Sensitive;fucose:Sensitive;rifampicin:Sensitive;furfural:Sensitive;carbenicillin:Sensitive;cobalt:Resistant;benzalkonium chloride:Resistant;verapamil:Sensitive;puromycin:Resistant;minocycline:Resistant;theophylline:Resistant;doxycycline:Sensitive;pyocyanin:Resistant;actinomycin d:Sensitive;ammonia chloride:Resistant;edta:Resistant;l-valine:Sensitive;bile:Sensitive
B1259	5	growth:Resistant;glycine utilization:Resistant;l-valine:Sensitive
B1258	5	growth:Resistant;tunicamycin:Sensitive;copper:Resistant;methyl methanesulfonate:Sensitive;itaconate:Sensitive
ECB_01739	2	growth:Resistant
ECB_01738	5	growth:Resistant
ECB_01737	2	growth:Resistant
ECB_01736	7	growth:Resistant
ECB_01735	5	growth:Resistant
ECB_01734	4	growth:Resistant
ECB_01733	4	growth:Resistant
ECB_01732	5	growth:Resistant;heat:Resistant
ECB_01731	7	growth:Resistant;heat:Resistant
ECB_01730	5	growth:Resistant
B2685	4	doxycycline:Sensitive;tobramycin:Resistant;cisplatin:Resistant;nitrofurantoin:Sensitive;nitrofurantoin:Resistant;chloramphenicol:Sensitive;nalidixic acid:Resistant;cefsulodin:Sensitive;growth:Resistant;tetracycline:Sensitive;trimethoprim:Resistant
B1624	3	growth:Resistant;azetreonam:Resistant
B1625	6	growth:Resistant;azetreonam:Resistant;triclosan:Resistant;paraquat:Resistant;itaconate:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;fucose:Sensitive
B1626	4	growth:Resistant;oxacillin:Resistant;mecillinam:Sensitive;trimethoprim:Sensitive;ethanol:Resistant
B1627	6	growth:Resistant;sodium chloride:Sensitive;cold:Sensitive;mitomycin c:Sensitive;a22:Resistant;gamma rays:Sensitive;nickel:Sensitive;norepinephrine:Sensitive;theophylline:Sensitive;methylglyoxal:Sensitive;pms:Sensitive;l-valine:Sensitive;isoniazid:Sensitive;paraquat:Sensitive
B1620	6	growth:Resistant;cerulenin:Resistant;puromycin:Sensitive;nickel:Resistant;cold:Sensitive;fucose:Sensitive;cccp:Resistant;verapamil:Sensitive;ionizing radiation:Resistant;methylglyoxal:Sensitive;azidothymidine:Resistant;l-valine:Sensitive;n-butanol:Resistant;acid:Resistant
B1621	2	growth:Resistant
B1622	5	growth:Resistant;glycine utilization:Resistant;chloramphenicol:Sensitive;nigericin:Sensitive;polymixin b:Sensitive;benzalkonium chloride:Sensitive;doxorubicin:Sensitive
B1623	9	growth:Resistant;glycine utilization:Resistant;theophylline:Sensitive;chloramphenicol:Sensitive;epinephrine:Sensitive;pms:Sensitive;fusidic acid:Resistant;benzoate:Resistant
B1628	4	growth:Resistant;cefoxitin:Resistant;chir-090:Resistant;gamma rays:Sensitive;ionizing radiation:Resistant;chloramphenicol:Resistant;actinomycin d:Resistant
B1629	6	growth:Resistant;decanoic acid:Sensitive;actinomycin d:Sensitive;chir-090:Resistant;propidium iodide:Resistant;fucose:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;puromycin:Resistant;cholate:Sensitive;trimethoprim:Resistant
B2182	12	growth:Resistant;sulfamethoxazole:Sensitive;sulfachloropyridazine:Resistant;rolitetracycline:Resistant;sodium chloride:Resistant;fucose:Sensitive;l-valine:Sensitive;cefoperazone:Resistant;methylglyoxal:Sensitive;ciprofloxacin:Resistant;asparagine utilization:Resistant;heat:Resistant;sulfathiazole:Resistant;sulfisoxazole:Resistant;oxytetracycline:Resistant
B4129	6	growth:Resistant;heat:Resistant;benzalkonium chloride:Sensitive;puromycin:Sensitive;glucose:Sensitive
B1615	3	growth:Resistant;triton x:Sensitive;pyocyanin:Sensitive;azithromycin:Sensitive;levofloxacin:Sensitive
B4226	3	growth:Resistant;heat:Resistant
B1617	4	growth:Resistant;nalidixic acid:Sensitive;doxycycline:Resistant;fucose:Sensitive;norfloxacin:Sensitive;radicicol:Resistant
RSCB	2	isooctane:Sensitive
B1611	4	growth:Resistant;bacitracin:Resistant;cerulenin:Resistant;triton x:Resistant;tunicamycin:Resistant;gentamicin:Resistant;deoxycholate:Resistant;norfloxacin:Sensitive;uv radiation:Resistant;ethanol:Resistant;asparagine utilization:Resistant;spectinomycin:Resistant
B4047	3	heat:Resistant;verapamil:Resistant;hydroxyurea:Sensitive;ethidium bromide:Sensitive;egcg:Resistant
B4222	4	growth:Resistant;decanoic acid:Resistant;deoxycholate:Resistant;spiramycin:Sensitive;nalidixic acid:Sensitive;fucose:Sensitive;mecillinam:Resistant;acid:Sensitive;paraquat:Resistant;l-valine:Sensitive;propidium iodide:Sensitive;n-butanol:Resistant;cccp:Sensitive;polymixin b:Resistant;actinomycin d:Resistant;mops:Sensitive
B4221	5	growth:Resistant;heat:Resistant;sodium chloride:Resistant
B4220	6	growth:Resistant;heat:Resistant;sodium chloride:Resistant;cholate:Resistant;bleomycin:Sensitive
ECW_P1M0115	8	sodium chloride:Sensitive
INSD1	5	growth:Resistant;ionic liquids:Resistant
B4612	1	l-valine:Sensitive;methylglyoxal:Sensitive
B4613	7	growth:Resistant;doxycycline:Resistant;cholate:Resistant;verapamil:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;chir-090:Resistant;verapamil:Resistant;trimethoprim:Sensitive;cold:Sensitive;erythromycin:Sensitive;acid:Resistant;heat:Resistant;trimethoprim:Resistant
B4610	1	clarythromycin:Resistant;spectinomycin:Sensitive;triclosan:Resistant;mecillinam:Sensitive;cobalt:Sensitive;chloropromazine:Resistant;bicyclomycin:Resistant;cecropin b:Sensitive;fusidic acid:Resistant;pms:Resistant;ciprofloxacin:Sensitive;novobiocin:Resistant;ammonia chloride:Sensitive;copper:Sensitive;uv radiation:Resistant;nalidixic acid:Resistant;cholate:Sensitive;vancomycin:Resistant;trimethoprim:Resistant;iron:Sensitive;hydroxyurea:Resistant;norfloxacin:Sensitive
B4045	4	methylglyoxal:Sensitive;tunicamycin:Resistant;etda:Sensitive;sds:Sensitive;l-valine:Sensitive;heat:Resistant
B4618	6	uv radiation:Sensitive;heat:Resistant;aspartate acid hydroxymate:Resistant;ciprofloxacin:Sensitive
B3499	9	growth:Resistant;doxycycline:Resistant;thiolactomycin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;copper:Resistant;trimethoprim:Sensitive;ionizing radiation:Resistant;acid:Resistant;heat:Resistant;trimethoprim:Resistant
B3498	10	growth:Resistant;novobiocin:Resistant;doxycycline:Resistant;bacitracin:Sensitive;oxacillin:Resistant;paraquat:Resistant;sodium chloride:Resistant;hydroxyurea:Resistant;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;erythromycin:Sensitive;acid:Resistant;heat:Resistant;tetracycline:Sensitive;sodium chloride:Sensitive;trimethoprim:Resistant
B3495	38	sodium chloride:Sensitive;cerulenin:Sensitive;luria-bertani broth:Sensitive;trimethoprim:Sensitive;phenazine methosulfate:Sensitive;asparagine utilization:Resistant;heat:Resistant;mitomycin c:Sensitive;streptonigrin:Sensitive;doxycycline:Resistant;methyl methanesulfonate:Sensitive;uv radiation:Sensitive;mops:Sensitive;growth:Resistant;freeze thaw cycles:Resistant;spiramycin:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;acid:Resistant;benzalkonium chloride:Resistant;trimethoprim:Resistant;egta:Sensitive;edta:Sensitive
B3494	20	sodium chloride:Sensitive;freeze thaw cycles:Resistant;doxycycline:Resistant;thiolactomycin:Sensitive;deoxycholate:Resistant;theophylline:Sensitive;ethanol:Sensitive;sodium chloride:Resistant;norepinephrine:Sensitive;erythromycin:Resistant;glufosfomycin:Resistant;acid:Sensitive;trimethoprim:Sensitive;ethanol:Resistant;acid:Resistant;heat:Resistant;growth:Resistant;trimethoprim:Resistant
B3497	8	growth:Resistant;doxycycline:Resistant;procaine:Sensitive;sodium chloride:Resistant;hydroxyurea:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;cold:Sensitive;erythromycin:Sensitive;acid:Resistant;heat:Resistant;trimethoprim:Resistant
B3496	10	growth:Resistant;doxycycline:Resistant;sodium chloride:Resistant;copper:Sensitive;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;trimethoprim:Sensitive;norepinephrine:Sensitive;methylglyoxal:Sensitive;acid:Resistant;heat:Resistant;ethidium bromide:Sensitive;trimethoprim:Resistant
B3491	9	growth:Resistant;doxycycline:Resistant;ampicillin:Sensitive;uv radiation:Sensitive;nalidixic acid:Sensitive;sodium chloride:Resistant;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;acid:Sensitive;trimethoprim:Sensitive;radicicol:Sensitive;methylglyoxal:Sensitive;acid:Resistant;heat:Resistant;trimethoprim:Resistant;mops:Sensitive
B3490	6	growth:Resistant;doxycycline:Resistant;sodium chloride:Resistant;erythromycin:Resistant;trimethoprim:Sensitive;zinc:Resistant;acid:Resistant;trimethoprim:Resistant
B3493	14	gentamicin:Resistant;nitrofurantoin:Sensitive;trimethoprim:Sensitive;luria-bertani broth:Resistant;geraniol:Sensitive;doxycycline:Resistant;zinc:Resistant;methylglyoxal:Sensitive;acid:Resistant;amikacin:Resistant;ionizing radiation:Resistant;growth:Resistant;cefoxitin:Resistant;sodium chloride:Resistant;erythromycin:Resistant;ampicillin:Resistant;trimethoprim:Resistant;doxycycline:Sensitive;tobramycin:Resistant;piperacillin:Resistant;l-valine:Sensitive;mops:Sensitive;tetracycline:Sensitive
B3492	7	growth:Resistant;doxycycline:Resistant;luria-bertani broth:Sensitive;cisplatin:Resistant;sodium chloride:Resistant;cobalt:Sensitive;erythromycin:Resistant;fucose:Sensitive;l-valine:Sensitive;cefsulodin:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;acid:Resistant;heat:Resistant;trimethoprim:Resistant;a22:Sensitive;mops:Sensitive
YLBE'	2	ionizing radiation:Resistant
B0288	7	growth:Resistant;novobiocin:Resistant;fucose:Sensitive;luria-bertani broth:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;mops:Sensitive
B0285	9	growth:Resistant;triton x:Resistant;sulfamethoxazole:Sensitive;cefaclor:Resistant;fucose:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;bicyclomycin:Sensitive
B0284	9	growth:Resistant;triton x:Resistant;novobiocin:Sensitive;cefsulodin:Resistant;ionizing radiation:Resistant;propidium iodide:Sensitive
B0287	5	growth:Resistant;amoxicillin:Resistant;gentamicin:Sensitive;tobramycin:Sensitive;alkaline:Resistant;glufosfomycin:Resistant;streptomycin:Sensitive;paraquat:Resistant;propidium iodide:Sensitive;triton x:Sensitive;fusidic acid:Resistant
B0286	6	growth:Resistant;furaltadone:Resistant;fucose:Sensitive
B0281	7	growth:Resistant;rifampicin:Sensitive;peroxide:Resistant;fusidic acid:Sensitive;tunicamycin:Sensitive
B0280	5	growth:Resistant;phleomycin:Resistant;chloramphenicol:Resistant;azidothymidine:Resistant
B0283	5	growth:Resistant;novobiocin:Resistant;spectinomycin:Sensitive;azithromycin:Sensitive;sulfamethoxazole:Sensitive;nickel:Sensitive;cefaclor:Resistant;spiramycin:Sensitive;uv radiation:Resistant;benzalkonium chloride:Resistant;propidium iodide:Sensitive;sulfamonomethoxine:Sensitive
B0282	5	growth:Resistant;doxycycline:Resistant;tunicamycin:Resistant;ceftazidime:Resistant;sulfamethoxazole:Sensitive;cisplatin:Resistant;trimethoprim:Sensitive;verapamil:Sensitive;d-cycloserine:Sensitive
B2830	8	growth:Resistant;acetate:Sensitive;decanoic acid:Sensitive;vancomycin:Sensitive;procaine:Sensitive;bicyclomycin:Sensitive;alanine utilization:Resistant;luria-bertani broth:Sensitive;methylglyoxal:Sensitive;a22:Resistant;l-valine:Sensitive;mops:Sensitive
B2527	7	ampicillin:Sensitive;methylglyoxal:Sensitive;vancomycin:Sensitive;fucose:Sensitive;luria-bertani broth:Sensitive;azetreonam:Sensitive;furfural:Resistant;l-valine:Sensitive;succinate:Resistant;ciprofloxacin:Sensitive;mops:Sensitive
B2524	2	vancomycin:Sensitive;isoniazid:Resistant;etda:Sensitive;sds:Sensitive;heat:Resistant;mecillinam:Sensitive
B2525	4	sulfamonomethoxine:Resistant;clarythromycin:Resistant;hydroxyurea:Sensitive;vancomycin:Sensitive;nitrofurantoin:Sensitive;high pressure:Resistant;fucose:Sensitive;bleomycin:Resistant;azetreonam:Sensitive;streptonigrin:Sensitive;spectinomycin:Resistant;sulfamethoxazole:Resistant
B2522	2	growth:Resistant;glufosfomycin:Sensitive;ethidium bromide:Resistant;amoxicillin:Resistant;cefaclor:Sensitive;bile:Sensitive
B2835	3	sodium chloride:Sensitive;chir-090:Sensitive;chir-090:Resistant;azidothymidine:Resistant;isoniazid:Resistant;luria-bertani broth:Sensitive;pms:Sensitive;norepinephrine:Resistant;mops:Sensitive;polymixin b:Resistant
B2836	3	medium chain fatty acids:Resistant;chir-090:Resistant;fucose:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;sds:Resistant
B2521	5	tetracycline:Resistant;sulfamonomethoxine:Resistant;methotrexate:Resistant;heat:Resistant;spiramycin:Resistant;ethidium bromide:Resistant;kanamycin:Sensitive;sulfamethoxazole:Sensitive;doxycycline:Resistant;streptomycin:Sensitive;nitrofurantoin:Resistant;lomefloxacin:Resistant;fusidic acid:Resistant;amikacin:Resistant;growth:Resistant;amoxicillin:Resistant;spectinomycin:Sensitive;cefoxitin:Resistant;tobramycin:Sensitive;erythromycin:Resistant;ampicillin:Resistant;nalidixic acid:Resistant;chloramphenicol:Resistant;trimethoprim:Resistant;ciprofloxacin:Resistant;l-valine:Sensitive;clindamycin:Resistant;piperacillin:Resistant
B2689	6	sodium chloride:Sensitive;growth:Resistant;nickel:Resistant;vancomycin:Sensitive;nitrofurantoin:Sensitive;cholate:Sensitive;nigericin:Sensitive;ethidium bromide:Sensitive;a22:Sensitive;acriflavine:Sensitive;puromycin:Sensitive;novobiocin:Sensitive;nitrofurantoin:Resistant;methylglyoxal:Sensitive;triton x:Sensitive;radicicol:Sensitive;peroxide:Sensitive;methotrexate:Sensitive;fucose:Sensitive;rifampicin:Sensitive;chloramphenicol:Sensitive;nalidixic acid:Resistant;bicyclomycin:Sensitive;benzalkonium chloride:Sensitive;doxycycline:Sensitive;tobramycin:Resistant;sds:Sensitive;l-valine:Sensitive;cefaclor:Sensitive;tetracycline:Sensitive;streptonigrin:Resistant
B2728	2	growth:Resistant;glycine utilization:Resistant;thiolactomycin:Sensitive;deoxycholate:Resistant;spiramycin:Sensitive
B2729	5	growth:Resistant;thiolactomycin:Resistant;clarythromycin:Resistant;1-naphthol:Resistant;fucose:Sensitive;edta:Resistant;l-valine:Sensitive;heat:Resistant
B2724	3	d-cycloserine:Resistant;mops:Sensitive;triclosan:Resistant;streptomycin:Sensitive;cefsulodin:Sensitive;fucose:Sensitive;paraquat:Sensitive
B2725	1	bleomycin:Resistant;streptomycin:Sensitive;tetracycline:Resistant;doxycycline:Resistant;spiramycin:Resistant
B2726	2	fucose:Sensitive;isoniazid:Resistant;norfloxacin:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;trimethoprim:Resistant
B2727	2	a22:Resistant;glucose:Sensitive;trimethoprim:Sensitive;mecillinam:Sensitive;tetracycline:Sensitive;procaine:Resistant
B2720	3	doxycycline:Sensitive;tobramycin:Resistant;nitrofurantoin:Sensitive;chloramphenicol:Sensitive;cefsulodin:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;tetracycline:Sensitive
B2721	6	growth:Resistant;doxycycline:Sensitive;tobramycin:Resistant;taurocholate:Sensitive;nitrofurantoin:Sensitive;peroxide:Resistant;chloramphenicol:Sensitive;fucose:Sensitive;luria-bertani broth:Sensitive;cholate:Sensitive;nalidixic acid:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;aspartate utilization:Resistant;tetracycline:Sensitive;mops:Sensitive
B2722	2	growth:Resistant;novobiocin:Resistant;norfloxacin:Sensitive;edta:Sensitive;streptonigrin:Sensitive
B2723	4	growth:Resistant;amoxicillin:Resistant;cholate:Resistant;streptonigrin:Sensitive;bicyclomycin:Sensitive;rifampicin:Sensitive;verapamil:Sensitive;ionizing radiation:Resistant;norfloxacin:Sensitive;norepinephrine:Resistant;fucose:Sensitive;ciprofloxacin:Sensitive;trimethoprim:Resistant
B1394	4	l-valine:Sensitive;heat:Resistant;nalidixic acid:Sensitive;ethanol:Sensitive;methylglyoxal:Sensitive
B1395	2	furfural:Sensitive;cefsulodin:Resistant;decanoic acid:Sensitive
B1396	2	nigericin:Sensitive;glucosamine:Resistant;methyl methanesulfonate:Resistant;l-valine:Sensitive;ethidium bromide:Sensitive;procaine:Resistant;acriflavine:Sensitive;puromycin:Sensitive;doxorubicin:Sensitive;oxacillin:Resistant;nitrofurantoin:Resistant;tunicamycin:Resistant;fucose:Sensitive;norfloxacin:Sensitive;egta:Resistant;propidium iodide:Sensitive;benzalkonium chloride:Sensitive;pyocyanin:Sensitive;paraquat:Sensitive;levofloxacin:Sensitive;polymixin b:Sensitive;chloropromazine:Sensitive
B1397	3	growth:Resistant;heat:Resistant;ampicillin:Sensitive;cisplatin:Sensitive;anaerobic:Sensitive
B1390	2	alanine utilization:Resistant;growth:Resistant;luria-bertani broth:Sensitive;mops:Sensitive
B1391	4	tobramycin:Resistant;tetracycline:Resistant;azidothymidine:Sensitive;cefsulodin:Resistant;calcofluor:Resistant;novobiocin:Sensitive;ceftazidime:Sensitive;fucose:Sensitive;egta:Resistant;acid:Sensitive;trimethoprim:Sensitive;ethanol:Resistant;furfural:Resistant;l-valine:Sensitive;n-butanol:Resistant;mecillinam:Sensitive;butanediol:Resistant;polymixin b:Resistant;a22:Sensitive;butyrolactone:Resistant
B1392	2	sulfamonomethoxine:Resistant;mecillinam:Sensitive;fucose:Sensitive
